   KDKO                   KD - KRIMINALISTIČNA OZNAČBA
   209B                   OMEJITEV PRAVICE - O
   209C                   V ZASEBNEM SEKTORJU - O
   209D                   V JAVNEM SEKTORJU - O
   2091                   NEPLAČEVANJE PRISPEVKOV
   2092                   PLAČEVANJE ZMANJŠANIH PRISPEVKOV
   2093                   NEIZPLAČEVANJE SREDSTEV UPRAVIČENCU
   210A                   SIMULIRANJE BOLEZNI/NEZMOŽNOSTI ZA DELO - O
   210B                   POVZROČITEV BOLEZNI/NEZMOŽNOSTI ZA DELO - O
   210C                   V ZASEBNEM SEKTORJU - O
   210D                   V JAVNEM SEKTORJU - O
   2111                   ŽEPARSTVO - IZ OBLAČIL
   2112                   ŽEPARSTVO - IZ ROČNE TORBICE, AKTOVKE, KOVČKA
   2113                   IZ PRTLJAGE
   212A                   Z VLOMOM- O
   212B                   Z VDOROM - O
   212C                   Z DRUGAČNIM PREMAGOVANJEM OVIR - O
   212D                   OSUMLJENI JE IMEL NEVARNO ORODJE ZA NAPAD - O
   212E                   OSUMLJENI JE IMEL OROŽJE ZA NAPAD - O
   212F                   OB POŽARU - O
   212G                   OB POVODNJI - O
   212H                   OB DRUGI NARAVNI NESREČI - O
   212I                   Z IZRABO NESREČE/NEZGODE DRUGEGA - O
   212J                   Z IZRABO NEMOČI DRUGEGA - O
   212K                   STVAR POSEBNEGA KULTURNEGA POMENA - O
   212L                   STVAR POSEBNEGA ZGODOVINSKEGA POMENA - O
   212M                   STVAR VELIKE VREDNOSTI - O
   212N                   ŽEPARSTVO - IZ OBLAČIL
   212O                   ŽEPARSTVO - IZ ROČNE TORBICE, AKTOVKE, KOVČKA
   212P                   IZ PRTLJAGE
